track_id,song_id,title,title,polarity,artist_id,artist_name
TRACCVZ128F4291A8A,SOVLGJY12A8C13FBED,Deep Sea Creature,Deep Sea Creature,-,ARMQHX71187B9890D3,Mastodon
TRACCMH128F428E4CD,SOGDQZK12A8C13F37C,No Quieras Marcharte,No Quieras Marcharte,-,AR2PT4M1187FB55B1A,Los Chichos
TRACCSW128F148C7C3,SODMVJR12A6D4F985D,If I...,If I...,-,ARDI88R1187B98DAB2,Foxy Brown
TRACCXJ128F428F0CF,SOIWBDR12A8C13A4AC,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,+,ARUKJUP12086C14589,Ramón Vargas e Vladimir Jurowski
TRACCVS12903D014F8,SOHCCIA12AC907577F,Ad Te Clamamus Exsvles Mortva Liberi,Ad Te Clamamus Exsvles Mortva Liberi,+,ARZEWUR1187FB53DC8,Enthroned
TRACCKS128F42B77AE,SOBOAQC12A8C13E3E9,Murder One,Murder One,-,ARUZRFN1187B98AC05,Bone Thugs-N-Harmony
TRACCQM12903CACC1E,SOKVLHX12AB0187B39,On My Feet Again,On My Feet Again,-,ARHBWOZ1187FB3FD53,Utopia
TRACCUS128F92E1FEB,SOMMSMW12A8C13FCCC,Bedroom Acoustics,Bedroom Acoustics,+,ARR3ONV1187B9A2F59,Muse
TRACCJA128F149A144,SODPNJR12A6D4FA52D,Segredo,Segredo,+,AR3THYK1187B999F1F,João Gilberto
TRACCGB12903CD1B90,SOFFLLP12AB018ED52,Sajana (Ft Faheem Mazhar),Sajana (Ft Faheem Mazhar),+,ARFELOH1187B991F95,Niraj Chag
TRACCXJ128F92E984B,SOZSPTD12A8C143BFD,Theresa,Theresa,+,ARO0EUG1187B9AC250,Portable
TRACCEJ128F93257ED,SOHWWOM12AB0186627,Story Of An Artist (Don't Be Scared),Story Of An Artist (Don't Be Scared),+,AR6CLFP1187B9ACB94,Daniel Johnston
TRACCMO12903CA4168,SOZVLXO12AF72ABCDB,D Shuffle Jam (Part 2),D Shuffle Jam (Part 2),+,AR6WICD1187B998708,Christian McBride
TRACCVN128F92DAE3D,SOVBVJW12AAF3B5F77,Ju Ju,Ju Ju,+,ARMFOCL119B8668919,String Trio Of New York
TRACCOK128F932AF52,SOINHKC12AB01836E0,When I Was A Cowboy (Western Plains) (LP Version),When I Was A Cowboy (Western Plains) (LP Version),+,AR3GYKU1187B996AB9,Jim Kweskin
TRACCLY12903CDD7C4,SODKUVJ12AB0187A4A,I Destructor (Lenny Dee Mix),I Destructor (Lenny Dee Mix),-,ARDOOH01187B991055,Ultraviolence
TRACJJZ12903CCBCDA,SOMJNMD12AB0187F93,No Survivors,No Survivors,-,ARVUAJC1187B9908A5,Speedball
TRACJPW128F932CA4C,SOZNBMX12AB0182AD1,Her Golden Robe In Silence Veiled,Her Golden Robe In Silence Veiled,-,ARM63WJ1187B9951EA,Autumnblaze
TRACJWY12903CB7DBF,SOIRIWN12AB0183AE7,Same Old Song,Same Old Song,-,ARBQPXY1187B98D67B,Kris Kristofferson
TRACJHJ128F1489FAB,SOESNFW12A6D4F995F,The Ride (Album),The Ride (Album),+,ARPVFV91187B98BB94,Cinder
TRACJVF128F92D2DB3,SOGNFKZ12A8C145224,Two Little Fishes_ Five Loaves Of Bread,Two Little Fishes_ Five Loaves Of Bread,+,AR6TD9K1187B9A207D,Sister Rosetta Tharpe
TRACJDX12903CD4917,SOSJVGP12AB0185B95,Church Hangover,Church Hangover,-,ARYF20K1187B9B76BD,George Lopez
TRACJKR12903D02C75,SOHHGUG12A6D4F4E77,I Got Stripes (Live),I Got Stripes (Live),+,ARH861H1187B9B799E,Johnny Cash
TRACJVT12903CB0F49,SOBIPBF12AB0184B0C,The Greed Of Our Stare,The Greed Of Our Stare,+,ARHWRBR119B8669309,Hatesex
TRACJOQ12903CBBB64,SONUTGA12AB0187F44,The Contracting Perception Of Consciousness,The Contracting Perception Of Consciousness,+,ARE17W51187FB5381B,Rui Da Silva
TRACIJF128F424317B,SOIGIUZ12A8C1337B1,Post-Toxic Finger Disorder,Post-Toxic Finger Disorder,-,AR8U8G41187B9A833B,Tim Exile
TRACIOB128F4296D0F,SORRQLD12A8C139E8D,Qui Donc A Changé ?,Qui Donc A Changé ?,+,ARQVTCN11E2835DFFD,Marcel Mouloudji
TRACIKJ128F4226ABA,SOHHKOU12A81C224B2,Lotus Kiss,Lotus Kiss,+,AR8W2DS1187B9B6E36,Alex Theory
TRACICJ128F14ADFB8,SOWUAYB12A6D4FA1D4,So Many Books ... (The Word Album Version),So Many Books ... (The Word Album Version),+,ARHO1WI1187B98CB84,Michael Card
TRACIIS128F425DF68,SOYTQGO12A8C138C1B,Drummer's Circle,Drummer's Circle,+,ARYUHNV1187FB482AF,Megadrums
TRACIEF128F4270573,SOOOBCE12A8C134019,What Would You Do,What Would You Do,+,AROBQ0B1187FB404F6,Walter Jackson
TRACILD128F930AF53,SOROLCY12AB0182652,Intro,Intro,+,ARYNSN31187FB4C573,Bizzy Bone Presents
TRACISV12903D13877,SOWBEBK12AB018306A,When You're Hot_ You're Hot,When You're Hot_ You're Hot,+,ARE9SYU1187B9B9838,Jerry Reed
TRACIIZ128EF34E497,SOLIAYU12A6D4F9923,Kong,Kong,+,ARZCXO91187FB53708,Justin
TRACHAL128F427DD25,SOOBRTK12A8C13D6A9,When Those Two Towers Fell,When Those Two Towers Fell,-,ARPEJMN11F4C84080E,New Roanoke Jug Band
TRACHZE12903CD95D2,SONROBV12AB0188BC7,Ignis,Ignis,+,ARJJRZ41187FB4C856,Floor
TRACHOZ12903CCA8B3,SOLWBGS12AB0187EAD,Close Up,Close Up,+,ARELA4P1187B991507,Charles Williams
TRACHTO12903CBE58B,SOOCWAO12AB01852C1,Bo Diddley,Bo Diddley,+,AR1VWD91187FB4CE99,The Animals_ Sonny Boy Williamson
TRACHKX128F934B07A,SOJDJRK12AB018565D,I'm Not Done,I'm Not Done,+,ARUYVDC12086C11D5C,Fever Ray
TRACHHO12903CF8CCA,SOYNXWG12AC468F51A,La Sitiera,La Sitiera,+,ARUT60Q1187B9B90E9,Orquesta Broadway
TRACHYC12903CEAAB6,SOQYKBE12AC46867EE,Teenage Baby (Digitally Remastered),Teenage Baby (Digitally Remastered),+,AR8Q4RZ1187FB46BDC,T-Bone Walker
TRACHTD128F92EE238,SOHWKQE12A8C142406,It Must Be,It Must Be,+,ARMBR4Y1187B9990EB,David Martin
TRACHHH128E0788A35,SOUYTJK12A6701CD3D,Big Business,Big Business,+,AR0CANF1187B9AF35F,Dilated Peoples
TRACHFO12903CB3009,SOYVONC12AB0187167,Shadow,Shadow,-,ARDDTL91187B9974A7,Warren Barfield
TRACHYA128F931BF87,SOQYLQN12AB01801B8,The Truth,The Truth,+,ARZJFLE12086C117FF,MN
TRACHSH12903CEBC2C,SOCXXWR12AC468929B,Sittin' On Top of the Wolrd,Sittin' On Top of the Wolrd,+,AR9OLFX1187B9A5762,Bob Wills
TRACXJP128F92E3693,SOHLKRL12A8C141B63,Oh Oh Oh Baby,Oh Oh Oh Baby,+,ARYPRAG11F50C48C62,Checkers
TRACXHQ12903D11ED1,SOAZTBX12AC4689A69,Adios...Borron Y Cuenta Nueva,Adios...Borron Y Cuenta Nueva,-,ARYN8YT1187FB38396,Los Iracundos
TRACXIQ128F92E25AB,SOFEAJC12A58A7F3AA,A Hard Road,A Hard Road,-,ARJ9DSA1187B990E00,John And The Bluesbreakers Mayall
